trial,inSync,response,isFeedback,srcFile,day,session
0,0,0,0,sub29bl,,bl
1,0,0,0,sub29bl,,bl
2,0,0,0,sub29bl,,bl
3,1,1,0,sub29bl,,bl
4,1,0,0,sub29bl,,bl
5,1,0,0,sub29bl,,bl
6,1,0,0,sub29bl,,bl
7,1,1,0,sub29bl,,bl
8,1,1,0,sub29bl,,bl
9,0,1,0,sub29bl,,bl
10,0,0,0,sub29bl,,bl
11,1,1,0,sub29bl,,bl
12,0,0,0,sub29bl,,bl
13,0,0,0,sub29bl,,bl
14,0,1,0,sub29bl,,bl
15,1,0,0,sub29bl,,bl
16,0,0,0,sub29bl,,bl
17,0,0,0,sub29bl,,bl
18,0,0,0,sub29bl,,bl
19,1,1,0,sub29bl,,bl
20,1,1,0,sub29bl,,bl
21,0,1,0,sub29bl,,bl
22,1,1,0,sub29bl,,bl
23,0,0,0,sub29bl,,bl
24,1,1,0,sub29bl,,bl
25,1,1,0,sub29bl,,bl
26,1,1,0,sub29MA,,MA
27,1,1,0,sub29MA,,MA
28,0,0,0,sub29MA,,MA
29,0,0,0,sub29MA,,MA
30,0,0,0,sub29MA,,MA
31,1,1,0,sub29MA,,MA
32,1,1,0,sub29MA,,MA
33,0,0,0,sub29MA,,MA
34,1,1,0,sub29MA,,MA
35,1,1,0,sub29MA,,MA
36,0,0,0,sub29MA,,MA
37,1,1,0,sub29MA,,MA
38,1,1,0,sub29MA,,MA
39,0,0,0,sub29MA,,MA
40,0,0,0,sub29MA,,MA
41,1,1,0,sub29MA,,MA
42,1,1,0,sub29MA,,MA
43,0,0,0,sub29MA,,MA
44,0,0,0,sub29MA,,MA
45,1,1,0,sub29MA,,MA
46,0,0,0,sub29MA,,MA
47,0,0,0,sub29MA,,MA
48,0,0,0,sub29MA,,MA
49,0,0,0,sub29MA,,MA
50,1,1,0,sub29MA,,MA
51,1,1,0,sub29MA,,MA
52,0,1,0,sub29exit,,exit
53,1,1,0,sub29exit,,exit
54,1,1,0,sub29exit,,exit
55,0,0,0,sub29exit,,exit
56,1,0,0,sub29exit,,exit
57,1,0,0,sub29exit,,exit
58,0,0,0,sub29exit,,exit
59,1,1,0,sub29exit,,exit
60,0,1,0,sub29exit,,exit
61,0,0,0,sub29exit,,exit
62,1,0,0,sub29exit,,exit
63,0,0,0,sub29exit,,exit
64,1,0,0,sub29exit,,exit
65,1,1,0,sub29exit,,exit
66,1,1,0,sub29exit,,exit
67,0,0,0,sub29exit,,exit
68,0,0,0,sub29exit,,exit
69,0,0,0,sub29exit,,exit
70,1,1,0,sub29exit,,exit
71,1,1,0,sub29exit,,exit
72,0,0,0,sub29exit,,exit
73,0,0,0,sub29exit,,exit
74,1,1,0,sub29exit,,exit
75,1,1,0,sub29exit,,exit
76,0,0,0,sub29exit,,exit
77,0,0,0,sub29exit,,exit
