trial,inSync,response,isFeedback,srcFile,day,session
0,1,0,0,sub04bl,,bl
1,1,1,0,sub04bl,,bl
2,1,0,0,sub04bl,,bl
3,0,1,0,sub04bl,,bl
4,1,1,0,sub04bl,,bl
5,0,0,0,sub04bl,,bl
6,0,0,0,sub04bl,,bl
7,0,1,0,sub04bl,,bl
8,1,0,0,sub04bl,,bl
9,1,1,0,sub04bl,,bl
10,1,0,0,sub04bl,,bl
11,0,1,0,sub04bl,,bl
12,1,1,0,sub04bl,,bl
13,0,0,0,sub04bl,,bl
14,0,0,0,sub04bl,,bl
15,0,0,0,sub04bl,,bl
16,1,1,0,sub04bl,,bl
17,1,0,0,sub04bl,,bl
18,1,0,0,sub04bl,,bl
19,0,0,0,sub04bl,,bl
20,1,1,0,sub04bl,,bl
21,0,0,0,sub04bl,,bl
22,1,1,0,sub04bl,,bl
23,1,0,0,sub04bl,,bl
24,1,1,0,sub04bl,,bl
25,1,0,0,sub04bl,,bl
26,1,1,0,sub04MA,,MA
27,0,0,0,sub04MA,,MA
28,0,1,0,sub04MA,,MA
29,0,0,0,sub04MA,,MA
30,1,0,0,sub04MA,,MA
31,1,0,0,sub04MA,,MA
32,1,1,0,sub04MA,,MA
33,0,0,0,sub04MA,,MA
34,1,0,0,sub04MA,,MA
35,0,1,0,sub04MA,,MA
36,1,0,0,sub04MA,,MA
37,1,1,0,sub04MA,,MA
38,1,0,0,sub04MA,,MA
39,0,0,0,sub04MA,,MA
40,1,1,0,sub04MA,,MA
41,0,0,0,sub04MA,,MA
42,1,1,0,sub04MA,,MA
43,0,0,0,sub04MA,,MA
44,0,1,0,sub04MA,,MA
45,0,0,0,sub04MA,,MA
46,1,1,0,sub04MA,,MA
47,1,1,0,sub04MA,,MA
48,1,1,0,sub04MA,,MA
49,0,0,0,sub04MA,,MA
50,0,0,0,sub04MA,,MA
51,0,1,0,sub04MA,,MA
52,0,0,0,sub04exit,,exit
53,1,1,0,sub04exit,,exit
54,1,1,0,sub04exit,,exit
55,1,1,0,sub04exit,,exit
56,0,0,0,sub04exit,,exit
57,0,1,0,sub04exit,,exit
58,0,0,0,sub04exit,,exit
59,0,0,0,sub04exit,,exit
60,0,1,0,sub04exit,,exit
61,0,0,0,sub04exit,,exit
62,1,1,0,sub04exit,,exit
63,1,1,0,sub04exit,,exit
64,0,0,0,sub04exit,,exit
65,0,0,0,sub04exit,,exit
66,0,0,0,sub04exit,,exit
67,1,1,0,sub04exit,,exit
68,1,1,0,sub04exit,,exit
69,0,0,0,sub04exit,,exit
70,1,0,0,sub04exit,,exit
71,1,0,0,sub04exit,,exit
72,1,1,0,sub04exit,,exit
73,1,0,0,sub04exit,,exit
74,0,0,0,sub04exit,,exit
75,1,1,0,sub04exit,,exit
76,1,1,0,sub04exit,,exit
77,0,0,0,sub04exit,,exit
