trial,inSync,response,isFeedback,srcFile,day,session
0,1,0,0,sub18bl,,bl
1,1,0,0,sub18bl,,bl
2,0,1,0,sub18bl,,bl
3,1,1,0,sub18bl,,bl
4,1,1,0,sub18bl,,bl
5,1,0,0,sub18bl,,bl
6,0,1,0,sub18bl,,bl
7,1,0,0,sub18bl,,bl
8,1,1,0,sub18bl,,bl
9,1,1,0,sub18bl,,bl
10,1,0,0,sub18bl,,bl
11,1,1,0,sub18bl,,bl
12,0,1,0,sub18bl,,bl
13,1,0,0,sub18bl,,bl
14,0,1,0,sub18bl,,bl
15,0,1,0,sub18bl,,bl
16,0,0,0,sub18bl,,bl
17,1,1,0,sub18bl,,bl
18,0,1,0,sub18bl,,bl
19,0,1,0,sub18bl,,bl
20,0,0,0,sub18bl,,bl
21,0,0,0,sub18bl,,bl
22,0,1,0,sub18bl,,bl
23,0,0,0,sub18bl,,bl
24,1,1,0,sub18bl,,bl
25,0,1,0,sub18bl,,bl
26,1,1,0,sub18MA,,MA
27,1,1,0,sub18MA,,MA
28,1,1,0,sub18MA,,MA
29,0,0,0,sub18MA,,MA
30,0,0,0,sub18MA,,MA
31,0,1,0,sub18MA,,MA
32,0,0,0,sub18MA,,MA
33,1,1,0,sub18MA,,MA
34,1,1,0,sub18MA,,MA
35,0,0,0,sub18MA,,MA
36,0,1,0,sub18MA,,MA
37,0,1,0,sub18MA,,MA
38,0,1,0,sub18MA,,MA
39,0,1,0,sub18MA,,MA
40,1,0,0,sub18MA,,MA
41,0,0,0,sub18MA,,MA
42,1,1,0,sub18MA,,MA
43,0,0,0,sub18MA,,MA
44,1,1,0,sub18MA,,MA
45,0,1,0,sub18MA,,MA
46,1,1,0,sub18MA,,MA
47,1,0,0,sub18MA,,MA
48,1,0,0,sub18MA,,MA
49,1,1,0,sub18MA,,MA
50,0,0,0,sub18MA,,MA
51,1,0,0,sub18MA,,MA
52,1,1,0,sub18exit,,exit
53,0,1,0,sub18exit,,exit
54,1,1,0,sub18exit,,exit
55,0,0,0,sub18exit,,exit
56,1,0,0,sub18exit,,exit
57,0,1,0,sub18exit,,exit
58,0,0,0,sub18exit,,exit
59,1,0,0,sub18exit,,exit
60,0,0,0,sub18exit,,exit
61,0,1,0,sub18exit,,exit
62,0,0,0,sub18exit,,exit
63,0,0,0,sub18exit,,exit
64,0,1,0,sub18exit,,exit
65,1,1,0,sub18exit,,exit
66,1,1,0,sub18exit,,exit
67,0,0,0,sub18exit,,exit
68,1,1,0,sub18exit,,exit
69,1,1,0,sub18exit,,exit
70,0,0,0,sub18exit,,exit
71,1,0,0,sub18exit,,exit
72,0,0,0,sub18exit,,exit
73,0,1,0,sub18exit,,exit
74,1,0,0,sub18exit,,exit
75,1,1,0,sub18exit,,exit
76,1,0,0,sub18exit,,exit
77,1,1,0,sub18exit,,exit
