trial,inSync,response,isFeedback,srcFile,day,session
0,1,1,0,sub01bl,,bl
1,1,0,0,sub01bl,,bl
2,1,1,0,sub01bl,,bl
3,0,1,0,sub01bl,,bl
4,1,0,0,sub01bl,,bl
5,0,1,0,sub01bl,,bl
6,0,1,0,sub01bl,,bl
7,0,1,0,sub01bl,,bl
8,1,0,0,sub01bl,,bl
9,1,1,0,sub01bl,,bl
10,1,1,0,sub01bl,,bl
11,0,0,0,sub01bl,,bl
12,1,0,0,sub01bl,,bl
13,0,1,0,sub01bl,,bl
14,0,1,0,sub01bl,,bl
15,0,1,0,sub01bl,,bl
16,1,0,0,sub01bl,,bl
17,1,0,0,sub01bl,,bl
18,1,1,0,sub01bl,,bl
19,0,0,0,sub01bl,,bl
20,1,1,0,sub01bl,,bl
21,0,1,0,sub01bl,,bl
22,1,0,0,sub01bl,,bl
23,1,0,0,sub01bl,,bl
24,1,1,0,sub01bl,,bl
25,1,1,0,sub01bl,,bl
26,1,1,0,sub01MA,,MA
27,1,0,0,sub01MA,,MA
28,1,1,0,sub01MA,,MA
29,0,1,0,sub01MA,,MA
30,1,1,0,sub01MA,,MA
31,0,0,0,sub01MA,,MA
32,0,1,0,sub01MA,,MA
33,0,1,0,sub01MA,,MA
34,1,1,0,sub01MA,,MA
35,1,1,0,sub01MA,,MA
36,1,1,0,sub01MA,,MA
37,0,0,0,sub01MA,,MA
38,1,1,0,sub01MA,,MA
39,0,1,0,sub01MA,,MA
40,0,1,0,sub01MA,,MA
41,0,0,0,sub01MA,,MA
42,1,1,0,sub01MA,,MA
43,1,1,0,sub01MA,,MA
44,1,1,0,sub01MA,,MA
45,0,1,0,sub01MA,,MA
46,1,1,0,sub01MA,,MA
47,0,1,0,sub01MA,,MA
48,1,1,0,sub01MA,,MA
49,1,0,0,sub01MA,,MA
50,1,1,0,sub01MA,,MA
51,1,1,0,sub01MA,,MA
52,0,0,0,sub01exit,,exit
53,0,0,0,sub01exit,,exit
54,0,1,0,sub01exit,,exit
55,1,1,0,sub01exit,,exit
56,0,1,0,sub01exit,,exit
57,1,0,0,sub01exit,,exit
58,0,0,0,sub01exit,,exit
59,0,1,0,sub01exit,,exit
60,1,1,0,sub01exit,,exit
61,1,0,0,sub01exit,,exit
62,0,0,0,sub01exit,,exit
63,0,1,0,sub01exit,,exit
64,0,0,0,sub01exit,,exit
65,0,1,0,sub01exit,,exit
66,1,1,0,sub01exit,,exit
67,1,1,0,sub01exit,,exit
68,1,1,0,sub01exit,,exit
69,0,0,0,sub01exit,,exit
70,1,1,0,sub01exit,,exit
71,0,1,0,sub01exit,,exit
72,1,1,0,sub01exit,,exit
73,1,0,0,sub01exit,,exit
74,0,1,0,sub01exit,,exit
75,1,1,0,sub01exit,,exit
76,1,1,0,sub01exit,,exit
77,1,1,0,sub01exit,,exit
