trial,inSync,response,isFeedback,srcFile,day,session
0,0,0,0,sub19bl,,bl
1,0,0,0,sub19bl,,bl
2,1,0,0,sub19bl,,bl
3,1,1,0,sub19bl,,bl
4,1,0,0,sub19bl,,bl
5,0,0,0,sub19bl,,bl
6,1,0,0,sub19bl,,bl
7,0,0,0,sub19bl,,bl
8,0,0,0,sub19bl,,bl
9,0,1,0,sub19bl,,bl
10,1,1,0,sub19bl,,bl
11,1,0,0,sub19bl,,bl
12,1,1,0,sub19bl,,bl
13,0,1,0,sub19bl,,bl
14,1,0,0,sub19bl,,bl
15,0,1,0,sub19bl,,bl
16,1,1,0,sub19bl,,bl
17,0,0,0,sub19bl,,bl
18,0,1,0,sub19bl,,bl
19,1,1,0,sub19bl,,bl
20,1,0,0,sub19bl,,bl
21,0,1,0,sub19bl,,bl
22,0,0,0,sub19bl,,bl
23,1,0,0,sub19bl,,bl
24,1,0,0,sub19bl,,bl
25,0,0,0,sub19bl,,bl
26,1,1,0,sub19MA,,MA
27,1,1,0,sub19MA,,MA
28,1,1,0,sub19MA,,MA
29,0,1,0,sub19MA,,MA
30,0,0,0,sub19MA,,MA
31,1,1,0,sub19MA,,MA
32,0,0,0,sub19MA,,MA
33,1,1,0,sub19MA,,MA
34,0,0,0,sub19MA,,MA
35,1,0,0,sub19MA,,MA
36,0,0,0,sub19MA,,MA
37,0,0,0,sub19MA,,MA
38,0,1,0,sub19MA,,MA
39,1,0,0,sub19MA,,MA
40,1,1,0,sub19MA,,MA
41,1,1,0,sub19MA,,MA
42,1,1,0,sub19MA,,MA
43,0,0,0,sub19MA,,MA
44,0,1,0,sub19MA,,MA
45,1,1,0,sub19MA,,MA
46,1,1,0,sub19exit,,exit
47,1,1,0,sub19exit,,exit
48,0,0,0,sub19exit,,exit
49,0,1,0,sub19exit,,exit
50,0,1,0,sub19exit,,exit
51,1,1,0,sub19exit,,exit
52,0,1,0,sub19exit,,exit
53,0,0,0,sub19exit,,exit
54,1,1,0,sub19exit,,exit
55,0,1,0,sub19exit,,exit
56,1,0,0,sub19exit,,exit
57,1,1,0,sub19exit,,exit
58,0,1,0,sub19exit,,exit
59,0,0,0,sub19exit,,exit
60,1,1,0,sub19exit,,exit
61,0,0,0,sub19exit,,exit
62,0,0,0,sub19exit,,exit
63,1,1,0,sub19exit,,exit
64,1,0,0,sub19exit,,exit
65,1,0,0,sub19exit,,exit
66,0,1,0,sub19exit,,exit
67,1,1,0,sub19exit,,exit
68,0,0,0,sub19exit,,exit
69,0,0,0,sub19exit,,exit
70,1,1,0,sub19exit,,exit
71,1,1,0,sub19exit,,exit
