trial,inSync,response,isFeedback,srcFile,day,session
0,1,1,0,sub16bl,,bl
1,0,0,0,sub16bl,,bl
2,0,0,0,sub16bl,,bl
3,0,1,0,sub16bl,,bl
4,1,0,0,sub16bl,,bl
5,1,0,0,sub16bl,,bl
6,1,1,0,sub16bl,,bl
7,0,0,0,sub16bl,,bl
8,1,0,0,sub16bl,,bl
9,0,0,0,sub16bl,,bl
10,1,1,0,sub16bl,,bl
11,1,0,0,sub16bl,,bl
12,0,0,0,sub16bl,,bl
13,0,0,0,sub16bl,,bl
14,1,0,0,sub16bl,,bl
15,0,0,0,sub16bl,,bl
16,1,1,0,sub16bl,,bl
17,0,1,0,sub16bl,,bl
18,0,0,0,sub16bl,,bl
19,1,1,0,sub16bl,,bl
20,0,1,0,sub16bl,,bl
21,1,1,0,sub16bl,,bl
22,0,0,0,sub16bl,,bl
23,0,0,0,sub16bl,,bl
24,1,0,0,sub16bl,,bl
25,1,1,0,sub16bl,,bl
26,0,1,0,sub16MA,,MA
27,1,1,0,sub16MA,,MA
28,1,1,0,sub16MA,,MA
29,1,1,0,sub16MA,,MA
30,0,0,0,sub16MA,,MA
31,1,0,0,sub16MA,,MA
32,1,0,0,sub16MA,,MA
33,0,0,0,sub16MA,,MA
34,0,1,0,sub16MA,,MA
35,1,1,0,sub16MA,,MA
36,1,1,0,sub16MA,,MA
37,1,1,0,sub16MA,,MA
38,0,0,0,sub16MA,,MA
39,0,0,0,sub16MA,,MA
40,1,1,0,sub16MA,,MA
41,1,1,0,sub16MA,,MA
42,1,1,0,sub16MA,,MA
43,1,0,0,sub16MA,,MA
44,0,0,0,sub16MA,,MA
45,0,1,0,sub16MA,,MA
46,0,0,0,sub16MA,,MA
47,0,0,0,sub16MA,,MA
48,0,0,0,sub16MA,,MA
49,1,1,0,sub16MA,,MA
50,0,0,0,sub16MA,,MA
51,0,0,0,sub16MA,,MA
52,0,0,0,sub16exit,,exit
53,1,1,0,sub16exit,,exit
54,0,0,0,sub16exit,,exit
55,1,1,0,sub16exit,,exit
56,0,0,0,sub16exit,,exit
57,1,0,0,sub16exit,,exit
58,0,0,0,sub16exit,,exit
59,1,0,0,sub16exit,,exit
60,1,1,0,sub16exit,,exit
61,0,0,0,sub16exit,,exit
62,0,0,0,sub16exit,,exit
63,1,0,0,sub16exit,,exit
64,0,0,0,sub16exit,,exit
65,0,1,0,sub16exit,,exit
66,1,1,0,sub16exit,,exit
67,1,1,0,sub16exit,,exit
68,0,0,0,sub16exit,,exit
69,1,1,0,sub16exit,,exit
70,1,1,0,sub16exit,,exit
71,1,0,0,sub16exit,,exit
72,1,1,0,sub16exit,,exit
73,0,0,0,sub16exit,,exit
74,0,1,0,sub16exit,,exit
75,0,0,0,sub16exit,,exit
76,0,0,0,sub16exit,,exit
77,1,0,0,sub16exit,,exit
