trial,inSync,response,isFeedback,srcFile,day,session
0,1,1,0,sub06bl,,bl
1,1,0,0,sub06bl,,bl
2,1,1,0,sub06bl,,bl
3,0,1,0,sub06bl,,bl
4,1,1,0,sub06bl,,bl
5,0,0,0,sub06bl,,bl
6,0,1,0,sub06bl,,bl
7,0,0,0,sub06bl,,bl
8,1,1,0,sub06bl,,bl
9,1,0,0,sub06bl,,bl
10,1,0,0,sub06bl,,bl
11,0,0,0,sub06bl,,bl
12,1,1,0,sub06bl,,bl
13,0,0,0,sub06bl,,bl
14,0,1,0,sub06bl,,bl
15,0,1,0,sub06bl,,bl
16,1,0,0,sub06bl,,bl
17,1,0,0,sub06bl,,bl
18,1,0,0,sub06bl,,bl
19,0,1,0,sub06bl,,bl
20,1,1,0,sub06bl,,bl
21,0,1,0,sub06bl,,bl
22,1,0,0,sub06bl,,bl
23,1,0,0,sub06bl,,bl
24,1,0,0,sub06bl,,bl
25,1,0,0,sub06bl,,bl
26,0,0,0,sub06MA,,MA
27,1,1,0,sub06MA,,MA
28,0,0,0,sub06MA,,MA
29,0,0,0,sub06MA,,MA
30,0,0,0,sub06MA,,MA
31,0,0,0,sub06MA,,MA
32,1,1,0,sub06MA,,MA
33,1,1,0,sub06MA,,MA
34,0,0,0,sub06MA,,MA
35,1,1,0,sub06MA,,MA
36,1,0,0,sub06MA,,MA
37,0,0,0,sub06MA,,MA
38,0,0,0,sub06MA,,MA
39,0,0,0,sub06MA,,MA
40,1,1,0,sub06MA,,MA
41,0,1,0,sub06MA,,MA
42,0,0,0,sub06MA,,MA
43,1,1,0,sub06MA,,MA
44,0,1,0,sub06MA,,MA
45,1,1,0,sub06MA,,MA
46,1,1,0,sub06MA,,MA
47,1,1,0,sub06MA,,MA
48,0,0,0,sub06MA,,MA
49,1,1,0,sub06MA,,MA
50,1,1,0,sub06MA,,MA
51,1,1,0,sub06MA,,MA
52,0,0,0,sub06exit,,exit
53,0,0,0,sub06exit,,exit
54,1,1,0,sub06exit,,exit
55,0,0,0,sub06exit,,exit
56,1,1,0,sub06exit,,exit
57,1,1,0,sub06exit,,exit
58,1,1,0,sub06exit,,exit
59,0,0,0,sub06exit,,exit
60,0,0,0,sub06exit,,exit
61,1,0,0,sub06exit,,exit
62,0,0,0,sub06exit,,exit
63,0,0,0,sub06exit,,exit
64,0,0,0,sub06exit,,exit
65,1,1,0,sub06exit,,exit
66,1,1,0,sub06exit,,exit
67,1,1,0,sub06exit,,exit
68,1,1,0,sub06exit,,exit
69,0,0,0,sub06exit,,exit
70,1,1,0,sub06exit,,exit
71,0,0,0,sub06exit,,exit
72,0,0,0,sub06exit,,exit
73,0,0,0,sub06exit,,exit
74,1,1,0,sub06exit,,exit
75,1,1,0,sub06exit,,exit
76,1,1,0,sub06exit,,exit
77,0,0,0,sub06exit,,exit
