trial,inSync,response,isFeedback,srcFile,day,session
0,1,0,0,sub03bl,,bl
1,1,0,0,sub03bl,,bl
2,1,1,0,sub03bl,,bl
3,0,1,0,sub03bl,,bl
4,1,0,0,sub03bl,,bl
5,0,0,0,sub03bl,,bl
6,0,1,0,sub03bl,,bl
7,0,1,0,sub03bl,,bl
8,1,0,0,sub03bl,,bl
9,1,1,0,sub03bl,,bl
10,1,0,0,sub03bl,,bl
11,0,1,0,sub03bl,,bl
12,1,0,0,sub03bl,,bl
13,0,1,0,sub03bl,,bl
14,0,1,0,sub03bl,,bl
15,0,0,0,sub03bl,,bl
16,1,0,0,sub03bl,,bl
17,1,1,0,sub03bl,,bl
18,1,1,0,sub03bl,,bl
19,0,1,0,sub03bl,,bl
20,1,1,0,sub03bl,,bl
21,0,0,0,sub03bl,,bl
22,1,0,0,sub03bl,,bl
23,1,0,0,sub03bl,,bl
24,1,1,0,sub03bl,,bl
25,1,1,0,sub03bl,,bl
26,1,1,0,sub03MA,,MA
27,0,0,0,sub03MA,,MA
28,1,1,0,sub03MA,,MA
29,0,0,0,sub03MA,,MA
30,1,1,0,sub03MA,,MA
31,0,1,0,sub03MA,,MA
32,1,1,0,sub03MA,,MA
33,1,1,0,sub03MA,,MA
34,1,1,0,sub03MA,,MA
35,0,1,0,sub03MA,,MA
36,0,0,0,sub03MA,,MA
37,1,0,0,sub03MA,,MA
38,1,1,0,sub03MA,,MA
39,1,0,0,sub03MA,,MA
40,0,0,0,sub03MA,,MA
41,0,0,0,sub03MA,,MA
42,0,1,0,sub03MA,,MA
43,0,0,0,sub03MA,,MA
44,1,1,0,sub03MA,,MA
45,1,1,0,sub03MA,,MA
46,1,1,0,sub03MA,,MA
47,0,0,0,sub03MA,,MA
48,1,1,0,sub03MA,,MA
49,0,0,0,sub03MA,,MA
50,0,1,0,sub03MA,,MA
51,0,1,0,sub03MA,,MA
52,0,0,0,sub03exit,,exit
53,0,0,0,sub03exit,,exit
54,0,0,0,sub03exit,,exit
55,0,0,0,sub03exit,,exit
56,0,1,0,sub03exit,,exit
57,1,1,0,sub03exit,,exit
58,1,1,0,sub03exit,,exit
59,1,1,0,sub03exit,,exit
60,1,1,0,sub03exit,,exit
61,0,0,0,sub03exit,,exit
62,0,1,0,sub03exit,,exit
63,0,0,0,sub03exit,,exit
64,1,1,0,sub03exit,,exit
65,1,1,0,sub03exit,,exit
66,1,1,0,sub03exit,,exit
67,1,1,0,sub03exit,,exit
68,1,1,0,sub03exit,,exit
69,0,0,0,sub03exit,,exit
70,1,1,0,sub03exit,,exit
71,0,0,0,sub03exit,,exit
72,0,0,0,sub03exit,,exit
73,1,1,0,sub03exit,,exit
74,1,1,0,sub03exit,,exit
75,1,0,0,sub03exit,,exit
76,0,0,0,sub03exit,,exit
77,0,0,0,sub03exit,,exit
