trial,inSync,response,isFeedback,srcFile,day,session
0,1,1,0,sub11bl,,bl
1,1,1,0,sub11bl,,bl
2,0,0,0,sub11bl,,bl
3,1,0,0,sub11bl,,bl
4,1,1,0,sub11bl,,bl
5,0,0,0,sub11bl,,bl
6,0,1,0,sub11bl,,bl
7,0,1,0,sub11bl,,bl
8,1,1,0,sub11bl,,bl
9,1,0,0,sub11bl,,bl
10,1,0,0,sub11bl,,bl
11,0,1,0,sub11bl,,bl
12,1,1,0,sub11bl,,bl
13,1,0,0,sub11bl,,bl
14,0,0,0,sub11bl,,bl
15,1,1,0,sub11bl,,bl
16,0,1,0,sub11bl,,bl
17,0,1,0,sub11bl,,bl
18,0,0,0,sub11bl,,bl
19,0,0,0,sub11bl,,bl
20,0,1,0,sub11bl,,bl
21,1,1,0,sub11bl,,bl
22,1,1,0,sub11bl,,bl
23,1,0,0,sub11bl,,bl
24,0,1,0,sub11bl,,bl
25,0,1,0,sub11bl,,bl
26,1,1,0,sub11MA,,MA
27,1,1,0,sub11MA,,MA
28,1,0,0,sub11MA,,MA
29,1,1,0,sub11MA,,MA
30,1,1,0,sub11MA,,MA
31,0,0,0,sub11MA,,MA
32,1,1,0,sub11MA,,MA
33,1,1,0,sub11MA,,MA
34,0,1,0,sub11MA,,MA
35,1,0,0,sub11MA,,MA
36,1,1,0,sub11MA,,MA
37,0,0,0,sub11MA,,MA
38,0,0,0,sub11MA,,MA
39,0,1,0,sub11MA,,MA
40,1,1,0,sub11MA,,MA
41,0,0,0,sub11MA,,MA
42,1,1,0,sub11MA,,MA
43,1,1,0,sub11MA,,MA
44,1,0,0,sub11MA,,MA
45,0,1,0,sub11MA,,MA
46,0,1,0,sub11MA,,MA
47,0,0,0,sub11MA,,MA
48,0,0,0,sub11MA,,MA
49,0,1,0,sub11MA,,MA
50,0,1,0,sub11MA,,MA
51,0,0,0,sub11MA,,MA
52,0,1,0,sub11exit,,exit
53,0,0,0,sub11exit,,exit
54,0,0,0,sub11exit,,exit
55,0,0,0,sub11exit,,exit
56,1,1,0,sub11exit,,exit
57,1,1,0,sub11exit,,exit
58,0,0,0,sub11exit,,exit
59,0,1,0,sub11exit,,exit
60,1,1,0,sub11exit,,exit
61,1,1,0,sub11exit,,exit
62,1,1,0,sub11exit,,exit
63,1,0,0,sub11exit,,exit
64,0,0,0,sub11exit,,exit
65,1,1,0,sub11exit,,exit
66,1,1,0,sub11exit,,exit
67,1,1,0,sub11exit,,exit
68,0,0,0,sub11exit,,exit
69,0,0,0,sub11exit,,exit
70,1,1,0,sub11exit,,exit
71,0,0,0,sub11exit,,exit
72,0,1,0,sub11exit,,exit
73,1,1,0,sub11exit,,exit
74,1,1,0,sub11exit,,exit
75,1,0,0,sub11exit,,exit
76,0,0,0,sub11exit,,exit
77,0,0,0,sub11exit,,exit
