trial,inSync,response,isFeedback,srcFile,day,session
0,0,1,0,sub21bl,,bl
1,1,0,0,sub21bl,,bl
2,1,0,0,sub21bl,,bl
3,1,0,0,sub21bl,,bl
4,0,0,0,sub21bl,,bl
5,1,0,0,sub21bl,,bl
6,1,0,0,sub21bl,,bl
7,0,1,0,sub21bl,,bl
8,1,0,0,sub21bl,,bl
9,1,0,0,sub21bl,,bl
10,0,0,0,sub21bl,,bl
11,0,0,0,sub21bl,,bl
12,1,0,0,sub21bl,,bl
13,0,0,0,sub21bl,,bl
14,1,1,0,sub21bl,,bl
15,0,0,0,sub21bl,,bl
16,1,0,0,sub21bl,,bl
17,0,0,0,sub21bl,,bl
18,0,1,0,sub21bl,,bl
19,1,1,0,sub21bl,,bl
20,0,1,0,sub21bl,,bl
21,0,1,0,sub21bl,,bl
22,0,0,0,sub21bl,,bl
23,0,1,0,sub21bl,,bl
24,1,0,0,sub21bl,,bl
25,1,1,0,sub21bl,,bl
26,1,1,0,sub21MA,,MA
27,0,0,0,sub21MA,,MA
28,0,1,0,sub21MA,,MA
29,1,1,0,sub21MA,,MA
30,0,0,0,sub21MA,,MA
31,0,0,0,sub21MA,,MA
32,1,1,0,sub21MA,,MA
33,0,0,0,sub21MA,,MA
34,1,1,0,sub21MA,,MA
35,1,1,0,sub21MA,,MA
36,0,0,0,sub21MA,,MA
37,1,0,0,sub21MA,,MA
38,0,1,0,sub21MA,,MA
39,1,1,0,sub21MA,,MA
40,1,1,0,sub21MA,,MA
41,1,1,0,sub21MA,,MA
42,1,1,0,sub21MA,,MA
43,1,1,0,sub21MA,,MA
44,0,1,0,sub21MA,,MA
45,0,1,0,sub21MA,,MA
46,1,1,0,sub21MA,,MA
47,1,0,0,sub21MA,,MA
48,0,0,0,sub21MA,,MA
49,0,0,0,sub21MA,,MA
50,0,1,0,sub21MA,,MA
51,0,1,0,sub21MA,,MA
52,0,1,0,sub21exit,,exit
53,0,0,0,sub21exit,,exit
54,0,0,0,sub21exit,,exit
55,0,0,0,sub21exit,,exit
56,0,0,0,sub21exit,,exit
57,1,0,0,sub21exit,,exit
58,1,1,0,sub21exit,,exit
59,0,1,0,sub21exit,,exit
60,1,1,0,sub21exit,,exit
61,0,1,0,sub21exit,,exit
62,0,1,0,sub21exit,,exit
63,1,1,0,sub21exit,,exit
64,1,0,0,sub21exit,,exit
65,1,1,0,sub21exit,,exit
66,1,1,0,sub21exit,,exit
67,0,0,0,sub21exit,,exit
68,1,1,0,sub21exit,,exit
69,0,0,0,sub21exit,,exit
70,0,0,0,sub21exit,,exit
71,1,0,0,sub21exit,,exit
72,1,0,0,sub21exit,,exit
73,0,1,0,sub21exit,,exit
74,0,1,0,sub21exit,,exit
75,1,1,0,sub21exit,,exit
76,1,0,0,sub21exit,,exit
77,1,1,0,sub21exit,,exit
