trial,inSync,response,isFeedback,srcFile,day,session
0,0,1,0,sub09bl,,bl
1,0,0,0,sub09bl,,bl
2,0,0,0,sub09bl,,bl
3,1,0,0,sub09bl,,bl
4,0,1,0,sub09bl,,bl
5,1,1,0,sub09bl,,bl
6,0,0,0,sub09bl,,bl
7,1,1,0,sub09bl,,bl
8,1,1,0,sub09bl,,bl
9,1,0,0,sub09bl,,bl
10,1,1,0,sub09bl,,bl
11,1,1,0,sub09bl,,bl
12,0,1,0,sub09bl,,bl
13,1,1,0,sub09bl,,bl
14,0,1,0,sub09bl,,bl
15,0,1,0,sub09bl,,bl
16,1,1,0,sub09bl,,bl
17,0,1,0,sub09bl,,bl
18,1,1,0,sub09bl,,bl
19,0,1,0,sub09bl,,bl
20,1,1,0,sub09bl,,bl
21,0,1,0,sub09bl,,bl
22,0,1,0,sub09bl,,bl
23,1,1,0,sub09bl,,bl
24,0,1,0,sub09bl,,bl
25,1,1,0,sub09bl,,bl
26,1,1,0,sub09MA,,MA
27,1,1,0,sub09MA,,MA
28,1,1,0,sub09MA,,MA
29,0,0,0,sub09MA,,MA
30,1,0,0,sub09MA,,MA
31,0,0,0,sub09MA,,MA
32,1,1,0,sub09MA,,MA
33,0,0,0,sub09MA,,MA
34,0,0,0,sub09MA,,MA
35,0,0,0,sub09MA,,MA
36,0,0,0,sub09MA,,MA
37,1,1,0,sub09MA,,MA
38,1,1,0,sub09MA,,MA
39,0,1,0,sub09MA,,MA
40,0,0,0,sub09MA,,MA
41,0,0,0,sub09MA,,MA
42,0,0,0,sub09MA,,MA
43,1,1,0,sub09MA,,MA
44,1,1,0,sub09MA,,MA
45,0,0,0,sub09MA,,MA
46,1,1,0,sub09MA,,MA
47,0,0,0,sub09MA,,MA
48,1,1,0,sub09MA,,MA
49,0,0,0,sub09MA,,MA
50,1,1,0,sub09MA,,MA
51,1,1,0,sub09MA,,MA
52,0,0,0,sub09exit,,exit
53,1,1,0,sub09exit,,exit
54,0,0,0,sub09exit,,exit
55,1,1,0,sub09exit,,exit
56,0,0,0,sub09exit,,exit
57,0,0,0,sub09exit,,exit
58,0,0,0,sub09exit,,exit
59,0,0,0,sub09exit,,exit
60,1,1,0,sub09exit,,exit
61,0,0,0,sub09exit,,exit
62,1,0,0,sub09exit,,exit
63,1,1,0,sub09exit,,exit
64,1,0,0,sub09exit,,exit
65,1,0,0,sub09exit,,exit
66,0,0,0,sub09exit,,exit
67,0,0,0,sub09exit,,exit
68,1,1,0,sub09exit,,exit
69,1,1,0,sub09exit,,exit
70,0,0,0,sub09exit,,exit
71,0,0,0,sub09exit,,exit
72,0,0,0,sub09exit,,exit
73,1,1,0,sub09exit,,exit
74,1,1,0,sub09exit,,exit
75,1,1,0,sub09exit,,exit
76,1,1,0,sub09exit,,exit
77,0,0,0,sub09exit,,exit
