trial,inSync,response,isFeedback,srcFile,day,session
0,0,0,0,sub71,,bl
1,1,0,0,sub71,,bl
2,1,1,0,sub71,,bl
3,1,1,0,sub71,,bl
4,0,0,0,sub71,,bl
5,1,1,0,sub71,,bl
6,0,1,0,sub71,,bl
7,1,0,0,sub71,,bl
8,0,0,0,sub71,,bl
9,1,0,0,sub71,,bl
10,0,1,0,sub71,,bl
11,0,1,0,sub71,,bl
12,0,0,0,sub71,,bl
13,0,0,0,sub71,,bl
14,0,0,0,sub71,,bl
15,1,1,0,sub71,,bl
16,1,0,0,sub71,,bl
17,1,0,0,sub71,,bl
18,0,0,0,sub71,,bl
19,1,1,0,sub71,,bl
20,0,1,0,sub72,,MA
21,0,0,0,sub72,,MA
22,1,1,0,sub72,,MA
23,0,0,0,sub72,,MA
24,1,1,0,sub72,,MA
25,1,1,0,sub72,,MA
26,0,0,0,sub72,,MA
27,0,1,0,sub72,,MA
28,0,0,0,sub72,,MA
29,1,1,0,sub72,,MA
30,0,1,0,sub72,,MA
31,1,0,0,sub72,,MA
32,1,0,0,sub72,,MA
33,1,1,0,sub72,,MA
34,1,0,0,sub72,,MA
35,0,1,0,sub72,,MA
36,1,1,0,sub72,,MA
37,0,0,0,sub72,,MA
38,1,0,0,sub72,,MA
39,0,1,0,sub72,,MA
40,0,1,0,sub73,,exit
41,0,1,0,sub73,,exit
42,1,0,0,sub73,,exit
43,0,0,0,sub73,,exit
44,1,1,0,sub73,,exit
45,1,0,0,sub73,,exit
46,0,0,0,sub73,,exit
47,0,0,0,sub73,,exit
48,0,1,0,sub73,,exit
49,1,0,0,sub73,,exit
50,0,1,0,sub73,,exit
51,1,0,0,sub73,,exit
52,1,1,0,sub73,,exit
53,1,1,0,sub73,,exit
54,1,1,0,sub73,,exit
55,0,0,0,sub73,,exit
56,1,0,0,sub73,,exit
57,0,1,0,sub73,,exit
58,1,0,0,sub73,,exit
59,0,0,0,sub73,,exit
