trial,inSync,response,isFeedback,srcFile,day,session
0,0,1,0,sub121,,bl
1,1,1,0,sub121,,bl
2,1,0,0,sub121,,bl
3,1,1,0,sub121,,bl
4,0,1,0,sub121,,bl
5,1,1,0,sub121,,bl
6,0,1,0,sub121,,bl
7,1,0,0,sub121,,bl
8,0,0,0,sub121,,bl
9,1,1,0,sub121,,bl
10,0,1,0,sub121,,bl
11,0,1,0,sub121,,bl
12,0,0,0,sub121,,bl
13,0,1,0,sub121,,bl
14,0,0,0,sub121,,bl
15,1,0,0,sub121,,bl
16,1,1,0,sub121,,bl
17,1,0,0,sub121,,bl
18,0,0,0,sub121,,bl
19,1,0,0,sub121,,bl
20,0,0,0,sub122,,MA
21,0,0,0,sub122,,MA
22,1,1,0,sub122,,MA
23,0,0,0,sub122,,MA
24,1,1,0,sub122,,MA
25,1,1,0,sub122,,MA
26,0,0,0,sub122,,MA
27,0,1,0,sub122,,MA
28,0,0,0,sub122,,MA
29,1,1,0,sub122,,MA
30,0,0,0,sub122,,MA
31,1,0,0,sub122,,MA
32,1,0,0,sub122,,MA
33,1,1,0,sub122,,MA
34,1,1,0,sub122,,MA
35,0,1,0,sub122,,MA
36,1,0,0,sub122,,MA
37,0,1,0,sub122,,MA
38,1,1,0,sub122,,MA
39,0,1,0,sub122,,MA
40,0,1,0,sub123,,exit
41,1,0,0,sub123,,exit
42,0,0,0,sub123,,exit
43,0,0,0,sub123,,exit
44,0,1,0,sub123,,exit
45,0,0,0,sub123,,exit
46,0,0,0,sub123,,exit
47,1,1,0,sub123,,exit
48,1,1,0,sub123,,exit
49,1,0,0,sub123,,exit
50,0,0,0,sub123,,exit
51,1,1,0,sub123,,exit
52,0,1,0,sub123,,exit
53,1,1,0,sub123,,exit
54,0,1,0,sub123,,exit
55,1,0,0,sub123,,exit
