trial,inSync,response,isFeedback,srcFile,day,session
0,0,0,0,sub131,,bl
1,1,0,0,sub131,,bl
2,1,1,0,sub131,,bl
3,1,1,0,sub131,,bl
4,0,0,0,sub131,,bl
5,1,0,0,sub131,,bl
6,0,0,0,sub131,,bl
7,1,0,0,sub131,,bl
8,0,0,0,sub131,,bl
9,1,0,0,sub131,,bl
10,0,0,0,sub131,,bl
11,0,0,0,sub131,,bl
12,0,0,0,sub131,,bl
13,0,0,0,sub131,,bl
14,0,0,0,sub131,,bl
15,1,0,0,sub131,,bl
16,1,0,0,sub131,,bl
17,1,0,0,sub131,,bl
18,0,0,0,sub131,,bl
19,1,0,0,sub131,,bl
20,0,0,0,sub132,,MA
21,0,0,0,sub132,,MA
22,1,0,0,sub132,,MA
23,0,0,0,sub132,,MA
24,1,0,0,sub132,,MA
25,1,0,0,sub132,,MA
26,0,0,0,sub132,,MA
27,0,0,0,sub132,,MA
28,0,0,0,sub132,,MA
29,1,0,0,sub132,,MA
30,0,0,0,sub132,,MA
31,1,0,0,sub132,,MA
32,1,0,0,sub132,,MA
33,1,0,0,sub132,,MA
34,0,0,0,sub133,,exit
35,0,0,0,sub133,,exit
36,1,0,0,sub133,,exit
37,0,0,0,sub133,,exit
38,1,0,0,sub133,,exit
39,1,0,0,sub133,,exit
40,0,0,0,sub133,,exit
41,0,0,0,sub133,,exit
42,0,0,0,sub133,,exit
43,1,0,0,sub133,,exit
44,0,0,0,sub133,,exit
45,1,0,0,sub133,,exit
46,1,0,0,sub133,,exit
47,1,0,0,sub133,,exit
48,1,1,0,sub133,,exit
49,0,0,0,sub133,,exit
50,1,0,0,sub133,,exit
51,0,1,0,sub133,,exit
52,1,0,0,sub133,,exit
53,0,0,0,sub133,,exit
