trial,inSync,response,isFeedback,srcFile,day,session
0,0,0,0,sub41,,bl
1,0,1,0,sub41,,bl
2,1,1,0,sub41,,bl
3,0,1,0,sub41,,bl
4,1,1,0,sub41,,bl
5,1,1,0,sub41,,bl
6,0,0,0,sub41,,bl
7,0,0,0,sub41,,bl
8,0,0,0,sub41,,bl
9,1,0,0,sub41,,bl
10,0,1,0,sub41,,bl
11,1,1,0,sub41,,bl
12,1,0,0,sub41,,bl
13,1,1,0,sub41,,bl
14,1,1,0,sub41,,bl
15,0,0,0,sub41,,bl
16,1,0,0,sub41,,bl
17,0,1,0,sub41,,bl
18,1,1,0,sub41,,bl
19,0,0,0,sub41,,bl
20,0,1,0,sub42,,MA
21,0,0,0,sub42,,MA
22,1,1,0,sub42,,MA
23,0,0,0,sub42,,MA
24,1,0,0,sub42,,MA
25,1,1,0,sub42,,MA
26,0,1,0,sub42,,MA
27,0,0,0,sub42,,MA
28,0,1,0,sub42,,MA
29,1,0,0,sub42,,MA
30,0,1,0,sub42,,MA
31,1,0,0,sub42,,MA
32,1,0,0,sub42,,MA
33,1,1,0,sub42,,MA
34,1,1,0,sub42,,MA
35,0,1,0,sub42,,MA
36,1,0,0,sub42,,MA
37,0,1,0,sub42,,MA
38,1,1,0,sub42,,MA
39,0,1,0,sub42,,MA
40,0,1,0,sub43,,exit
41,0,0,0,sub43,,exit
42,1,1,0,sub43,,exit
43,0,1,0,sub43,,exit
44,1,0,0,sub43,,exit
45,1,1,0,sub43,,exit
46,0,1,0,sub43,,exit
47,0,0,0,sub43,,exit
48,0,1,0,sub43,,exit
49,1,1,0,sub43,,exit
50,0,0,0,sub43,,exit
51,1,1,0,sub43,,exit
52,1,1,0,sub43,,exit
53,1,1,0,sub43,,exit
54,1,1,0,sub43,,exit
55,0,1,0,sub43,,exit
56,1,0,0,sub43,,exit
57,0,1,0,sub43,,exit
58,1,0,0,sub43,,exit
59,0,1,0,sub43,,exit
