trial,inSync,response,isFeedback,srcFile,day,session
0,0,1,0,sub151,,bl
1,0,1,0,sub151,,bl
2,1,0,0,sub151,,bl
3,0,0,0,sub151,,bl
4,1,1,0,sub151,,bl
5,1,1,0,sub151,,bl
6,0,1,0,sub151,,bl
7,0,0,0,sub151,,bl
8,0,0,0,sub151,,bl
9,1,1,0,sub151,,bl
10,0,1,0,sub152,,MA
11,0,1,0,sub152,,MA
12,1,0,0,sub152,,MA
13,0,1,0,sub152,,MA
14,1,1,0,sub152,,MA
15,1,1,0,sub152,,MA
16,0,0,0,sub152,,MA
17,0,1,0,sub152,,MA
18,0,0,0,sub152,,MA
19,1,1,0,sub152,,MA
20,0,1,0,sub152,,MA
21,1,0,0,sub152,,MA
22,1,0,0,sub152,,MA
23,1,1,0,sub152,,MA
24,1,0,0,sub152,,MA
25,0,0,0,sub152,,MA
26,1,1,0,sub152,,MA
27,0,1,0,sub152,,MA
28,1,0,0,sub152,,MA
29,0,0,0,sub152,,MA
30,0,1,0,sub153,,exit
31,0,1,0,sub153,,exit
32,1,1,0,sub153,,exit
33,0,1,0,sub153,,exit
34,1,1,0,sub153,,exit
35,1,1,0,sub153,,exit
36,0,1,0,sub153,,exit
37,0,0,0,sub153,,exit
38,0,1,0,sub153,,exit
39,1,1,0,sub153,,exit
40,0,0,0,sub153,,exit
41,1,1,0,sub153,,exit
42,1,0,0,sub153,,exit
43,1,1,0,sub153,,exit
44,1,1,0,sub153,,exit
45,0,1,0,sub153,,exit
46,1,1,0,sub153,,exit
47,0,0,0,sub153,,exit
48,1,1,0,sub153,,exit
49,0,0,0,sub153,,exit
