trial,inSync,response,isFeedback,srcFile,day,session
0,0,1,0,sub211,,bl
1,0,1,0,sub211,,bl
2,1,0,0,sub211,,bl
3,1,0,0,sub211,,bl
4,1,0,0,sub211,,bl
5,1,0,0,sub211,,bl
6,1,1,0,sub211,,bl
7,0,1,0,sub211,,bl
8,0,0,0,sub211,,bl
9,1,1,0,sub211,,bl
10,0,1,0,sub211,,bl
11,0,1,0,sub211,,bl
12,0,0,0,sub211,,bl
13,1,0,0,sub211,,bl
14,0,0,0,sub211,,bl
15,0,1,0,sub211,,bl
16,1,1,0,sub211,,bl
17,0,0,0,sub211,,bl
18,0,1,0,sub211,,bl
19,1,0,0,sub211,,bl
20,0,1,0,sub211,,bl
21,0,0,0,sub211,,bl
22,1,0,0,sub211,,bl
23,1,1,0,sub211,,bl
24,1,1,0,sub211,,bl
25,1,1,0,sub211,,bl
26,1,1,0,sub212,,MA
27,0,0,0,sub212,,MA
28,0,0,0,sub212,,MA
29,1,1,0,sub212,,MA
30,0,1,0,sub212,,MA
31,0,0,0,sub212,,MA
32,0,1,0,sub212,,MA
33,1,0,0,sub212,,MA
34,0,0,0,sub212,,MA
35,0,0,0,sub212,,MA
36,1,1,0,sub212,,MA
37,1,0,0,sub212,,MA
38,1,1,0,sub212,,MA
39,0,0,0,sub212,,MA
40,0,1,0,sub212,,MA
41,0,0,0,sub212,,MA
42,0,1,0,sub212,,MA
43,1,1,0,sub212,,MA
44,1,0,0,sub212,,MA
45,0,0,0,sub212,,MA
46,0,1,0,sub212,,MA
47,1,1,0,sub212,,MA
48,0,0,0,sub212,,MA
49,1,1,0,sub212,,MA
50,1,0,0,sub212,,MA
51,0,0,0,sub212,,MA
52,0,1,0,sub212,,MA
53,1,1,0,sub212,,MA
54,1,0,0,sub212,,MA
55,1,0,0,sub212,,MA
56,1,0,0,sub212,,MA
57,1,1,0,sub212,,MA
58,0,0,0,sub213,,exit
59,0,0,0,sub213,,exit
60,1,1,0,sub213,,exit
61,1,1,0,sub213,,exit
62,0,0,0,sub213,,exit
63,0,0,0,sub213,,exit
64,1,1,0,sub213,,exit
65,1,0,0,sub213,,exit
66,1,0,0,sub213,,exit
67,1,0,0,sub213,,exit
68,0,0,0,sub213,,exit
69,0,0,0,sub213,,exit
70,0,1,0,sub213,,exit
71,0,0,0,sub213,,exit
72,1,1,0,sub213,,exit
73,1,1,0,sub213,,exit
74,1,0,0,sub213,,exit
75,0,1,0,sub213,,exit
76,0,0,0,sub213,,exit
77,0,0,0,sub213,,exit
78,0,0,0,sub213,,exit
79,1,0,0,sub213,,exit
80,1,1,0,sub213,,exit
81,0,0,0,sub213,,exit
82,0,0,0,sub213,,exit
83,0,0,0,sub213,,exit
84,1,1,0,sub213,,exit
85,0,0,0,sub213,,exit
86,1,1,0,sub213,,exit
87,1,0,0,sub213,,exit
88,1,0,0,sub213,,exit
89,1,0,0,sub213,,exit
