trial,inSync,response,isFeedback,srcFile,day,session
0,1,0,0,sub261,,bl
1,1,0,0,sub261,,bl
2,1,1,0,sub261,,bl
3,1,0,0,sub261,,bl
4,0,0,0,sub261,,bl
5,1,1,0,sub261,,bl
6,0,0,0,sub261,,bl
7,0,1,0,sub261,,bl
8,1,0,0,sub261,,bl
9,0,0,0,sub261,,bl
10,0,1,0,sub261,,bl
11,0,1,0,sub261,,bl
12,0,0,0,sub261,,bl
13,0,0,0,sub261,,bl
14,0,1,0,sub261,,bl
15,1,1,0,sub261,,bl
16,1,0,0,sub261,,bl
17,1,0,0,sub261,,bl
18,0,1,0,sub261,,bl
19,1,1,0,sub261,,bl
20,0,1,0,sub261,,bl
21,1,0,0,sub261,,bl
22,0,0,0,sub261,,bl
23,1,0,0,sub261,,bl
24,1,0,0,sub261,,bl
25,0,0,0,sub261,,bl
26,1,0,0,sub262,,MA
27,0,0,0,sub262,,MA
28,1,1,0,sub262,,MA
29,1,0,0,sub262,,MA
30,1,0,0,sub262,,MA
31,0,0,0,sub262,,MA
32,1,0,0,sub262,,MA
33,1,1,0,sub262,,MA
34,1,0,0,sub262,,MA
35,0,0,0,sub262,,MA
36,1,1,0,sub262,,MA
37,0,0,0,sub262,,MA
38,1,0,0,sub262,,MA
39,0,1,0,sub262,,MA
40,0,0,0,sub262,,MA
41,1,0,0,sub262,,MA
42,1,0,0,sub262,,MA
43,0,0,0,sub262,,MA
44,0,1,0,sub262,,MA
45,0,1,0,sub262,,MA
46,1,1,0,sub262,,MA
47,1,0,0,sub262,,MA
48,1,0,0,sub262,,MA
49,0,0,0,sub262,,MA
50,0,1,0,sub262,,MA
51,0,0,0,sub262,,MA
52,1,0,0,sub262,,MA
53,0,1,0,sub262,,MA
54,0,1,0,sub262,,MA
55,0,0,0,sub262,,MA
56,0,1,0,sub262,,MA
57,1,0,0,sub262,,MA
58,1,1,0,sub263,,exit
59,0,0,0,sub263,,exit
60,0,0,0,sub263,,exit
61,1,1,0,sub263,,exit
62,0,0,0,sub263,,exit
63,0,0,0,sub263,,exit
64,0,0,0,sub263,,exit
65,1,0,0,sub263,,exit
66,0,0,0,sub263,,exit
67,0,1,0,sub263,,exit
68,1,1,0,sub263,,exit
69,1,0,0,sub263,,exit
70,1,0,0,sub263,,exit
71,0,1,0,sub263,,exit
72,0,0,0,sub263,,exit
73,0,1,0,sub263,,exit
74,0,0,0,sub263,,exit
75,1,1,0,sub263,,exit
76,1,1,0,sub263,,exit
77,0,0,0,sub263,,exit
78,0,0,0,sub263,,exit
79,1,1,0,sub263,,exit
80,0,0,0,sub263,,exit
81,1,0,0,sub263,,exit
82,1,1,0,sub263,,exit
83,0,1,0,sub263,,exit
84,1,0,0,sub263,,exit
85,0,0,0,sub263,,exit
86,1,1,0,sub263,,exit
87,1,0,0,sub263,,exit
88,1,0,0,sub263,,exit
89,1,1,0,sub263,,exit
