trial,inSync,response,isFeedback,srcFile,day,session
0,0,0,0,sub51,,bl
1,0,0,0,sub51,,bl
2,1,1,0,sub51,,bl
3,0,0,0,sub51,,bl
4,1,1,0,sub51,,bl
5,1,0,0,sub51,,bl
6,0,0,0,sub51,,bl
7,0,1,0,sub51,,bl
8,0,1,0,sub51,,bl
9,1,0,0,sub51,,bl
10,0,0,0,sub51,,bl
11,1,0,0,sub51,,bl
12,1,0,0,sub51,,bl
13,1,1,0,sub51,,bl
14,1,1,0,sub51,,bl
15,0,0,0,sub51,,bl
16,1,0,0,sub51,,bl
17,0,0,0,sub51,,bl
18,1,0,0,sub51,,bl
19,0,0,0,sub51,,bl
20,0,0,0,sub52,,MA
21,0,1,0,sub52,,MA
22,1,1,0,sub52,,MA
23,0,0,0,sub52,,MA
24,1,0,0,sub52,,MA
25,1,1,0,sub52,,MA
26,0,1,0,sub52,,MA
27,0,0,0,sub52,,MA
28,0,1,0,sub52,,MA
29,1,1,0,sub52,,MA
30,0,0,0,sub52,,MA
31,1,0,0,sub52,,MA
32,1,1,0,sub52,,MA
33,1,1,0,sub52,,MA
34,1,0,0,sub52,,MA
35,0,0,0,sub52,,MA
36,1,0,0,sub52,,MA
37,0,1,0,sub52,,MA
38,1,1,0,sub52,,MA
39,0,0,0,sub52,,MA
40,0,0,0,sub53,,exit
41,1,0,0,sub53,,exit
42,0,0,0,sub53,,exit
43,0,1,0,sub53,,exit
44,0,0,0,sub53,,exit
45,0,1,0,sub53,,exit
46,0,0,0,sub53,,exit
47,1,0,0,sub53,,exit
48,1,1,0,sub53,,exit
49,1,1,0,sub53,,exit
50,0,0,0,sub53,,exit
