trial,inSync,response,isFeedback,srcFile,day,session
0,0,0,0,sub61,,bl
1,0,0,0,sub61,,bl
2,1,1,0,sub61,,bl
3,0,0,0,sub61,,bl
4,1,0,0,sub61,,bl
5,1,1,0,sub61,,bl
6,0,1,0,sub61,,bl
7,0,1,0,sub61,,bl
8,0,1,0,sub61,,bl
9,1,1,0,sub61,,bl
10,0,0,0,sub61,,bl
11,0,0,0,sub62,,MA
12,0,0,0,sub62,,MA
13,1,1,0,sub62,,MA
14,0,0,0,sub62,,MA
15,1,1,0,sub62,,MA
16,1,1,0,sub62,,MA
17,0,0,0,sub62,,MA
18,0,1,0,sub62,,MA
19,0,0,0,sub62,,MA
20,1,1,0,sub62,,MA
21,0,0,0,sub62,,MA
22,1,1,0,sub62,,MA
23,1,0,0,sub62,,MA
24,1,1,0,sub62,,MA
25,1,0,0,sub62,,MA
26,0,0,0,sub62,,MA
27,1,1,0,sub62,,MA
28,0,0,0,sub62,,MA
29,1,0,0,sub62,,MA
30,0,0,0,sub62,,MA
31,0,0,0,sub63,,exit
32,0,1,0,sub63,,exit
33,1,0,0,sub63,,exit
34,0,1,0,sub63,,exit
35,1,1,0,sub63,,exit
36,1,1,0,sub63,,exit
37,0,1,0,sub63,,exit
38,0,1,0,sub63,,exit
39,0,1,0,sub63,,exit
40,1,1,0,sub63,,exit
41,0,1,0,sub63,,exit
42,1,1,0,sub63,,exit
43,1,0,0,sub63,,exit
44,1,0,0,sub63,,exit
45,1,1,0,sub63,,exit
46,0,1,0,sub63,,exit
47,1,1,0,sub63,,exit
48,0,0,0,sub63,,exit
49,1,1,0,sub63,,exit
50,0,1,0,sub63,,exit
